Dep_Airport,AIRPORT,CITY,STATE,Performance_Tier,total_flights,avg_dep_delay,delay_volatility,unique_airlines,LATITUDE,LONGITUDE
ABE,Lehigh Valley International Airport,Allentown,PA,0,4368,9.269001831501832,69.76679220735684,6,40.65236,-75.4404
ABI,Abilene Regional Airport,Abilene,TX,3,1341,6.342281879194631,40.50807817554057,1,32.41132,-99.6819
ABQ,Albuquerque International Sunport,Albuquerque,NM,0,23273,9.981867399991406,53.246395977581074,10,35.04022,-106.60919
ACK,Nantucket Memorial Airport,Nantucket,MA,1,1517,20.284113381674356,80.67354385130257,3,41.25305,-70.06018
ACT,Waco Regional Airport,Waco,TX,2,1046,13.915869980879542,66.43903991942283,2,31.61129,-97.23052
ACV,Arcata Airport,Arcata/Eureka,CA,2,1625,14.518153846153846,76.03669273390194,1,40.97812,-124.10862
ACY,Atlantic City International Airport,Atlantic City,NJ,3,2968,9.865229110512129,48.113315898150965,1,39.3642,-74.4231
AEX,Alexandria International Airport,Alexandria,LA,2,1781,11.909039865244244,69.36266547686269,2,31.32737,-92.54856
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,0,3619,12.925670074606245,59.63893804593237,7,33.36996,-81.9645
ALB,Albany International Airport,Albany,NY,0,11658,9.825184422714017,54.69277174929769,11,42.74812,-73.80298
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,2,5193,11.339302907760446,86.31926234434081,4,35.21937,-101.70593
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,3,17601,5.6112720868132495,55.82407244049776,4,61.17432,-149.99619
ASE,Aspen-Pitkin County Airport,Aspen,CO,1,6042,22.803045349222113,83.8428303392667,1,39.22316,-106.86885
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,4,332935,11.485443104509889,43.72296526351364,13,33.64044,-84.42694
ATW,Appleton International Airport,Appleton,WI,2,4857,11.88202594193947,71.22915805584434,5,44.25741,-88.51948
AUS,Austin-Bergstrom International Airport,Austin,TX,4,91447,12.85707568318261,58.61258350376577,14,30.19453,-97.66987
AVL,Asheville Regional Airport,Asheville,NC,0,11056,13.867221418234443,68.27803793415335,9,35.4333,-82.0333
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,2,2009,15.127924340467894,94.89653656018099,5,41.3333,-75.0667
AZA,Phoenix Mesa Gateway Airport,Phoenix,AZ,3,5403,8.711456598186192,61.46327071473131,1,33.4484,-112.074
BDL,Bradley International Airport,Windsor Locks,CT,0,21340,13.04451733833177,62.46191987063114,12,41.93887,-72.68323
BFL,Meadows Field,Bakersfield,CA,2,2588,11.186244204018546,82.9675684010059,3,35.4336,-119.05677
BGR,Bangor International Airport,Bangor,ME,0,4526,9.498232434821034,66.13667663917666,7,44.80744,-68.82814
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,0,15706,10.191200814975168,54.901018179371285,9,33.56294,-86.75355
BIL,Billings Logan International Airport,Billings,MT,3,3432,6.872668997668998,65.81036089693626,5,45.80766,-108.54286
BIS,Bismarck Municipal Airport,Bismarck,ND,2,3438,11.79173938336242,73.81025868593731,4,46.77411,-100.74672
BLI,Bellingham International Airport,Bellingham,WA,3,2610,6.797701149425287,41.516016231797465,3,48.79275,-122.53753
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,3,1765,9.211331444759207,65.98247625781315,5,40.47799,-88.91595
BNA,Nashville International Airport,Nashville,TN,4,95152,11.538422734151673,52.73665071524376,14,36.12448,-86.67818
BOI,Boise Airport (Boise Air Terminal),Boise,ID,0,20974,6.802994183274531,61.7693193568342,9,43.56444,-116.22278
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,4,137555,14.589735015084875,55.406395180601955,14,42.36435,-71.00518
BQN,Rafael Hernández Airport,Aguadilla,PR,1,2829,25.42382467302934,77.21068834037624,4,18.49486,-67.12944
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,3,1304,7.898773006134969,61.8744218670283,3,25.90683,-97.42586
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,0,4276,9.118101028999064,61.44834251159514,7,30.53316,-91.14963
BTV,Burlington International Airport,Burlington,VT,0,7584,8.917194092827005,63.62475504929233,9,44.473,-73.15031
BUF,Buffalo Niagara International Airport,Buffalo,NY,0,20353,12.647668648356508,63.72185315240262,11,42.94052,-78.73217
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,3,29161,8.055382188539488,39.585760401123714,10,34.20062,-118.3585
BWI,Baltimore-Washington International Airport,Baltimore,MD,4,95032,15.646740045458372,43.22809770808701,14,39.1754,-76.6682
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,0,9420,11.6776008492569,68.84591833018975,9,45.7769,-111.15301
CAE,Columbia Metropolitan Airport,Columbia,SC,3,6010,8.125291181364393,59.89951459055787,7,33.93884,-81.11954
CAK,Akron-Canton Regional Airport,Akron,OH,3,3264,8.24234068627451,61.5084099567552,4,40.91631,-81.44247
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,0,5771,9.843527984751343,56.73705000515754,7,35.03527,-85.20379
