antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Weather_Snow'}),"frozenset({'Weather_Freezing', 'Tier_Name=Tier_4_MegaHub', 'Delay_Class=Severe'})",0.023775427143696817,0.003934630199296695,0.0012462355405369922,0.05241695692804349,13.321952578265902,1.0,0.0011526880268962242,1.0511641983076994,0.9474622482180584,0.04709204701572279,0.048673840290670206,0.1845760349321942
"frozenset({'Weather_Snow', 'Tier_Name=Tier_4_MegaHub'})","frozenset({'Weather_Freezing', 'Delay_Class=Severe'})",0.016128348121860425,0.006196840580822515,0.0012462355405369922,0.07726988102692549,12.469238157595035,1.0,0.001146290738393815,1.0770247323509952,0.9348807202205017,0.05912226906860866,0.07151621502958513,0.13918904742350185
frozenset({'Weather_Snow'}),"frozenset({'Weather_Freezing', 'Delay_Class=Severe'})",0.023775427143696817,0.006196840580822515,0.0016986776168421563,0.07144677597485345,11.529548814917266,1.0,0.0015513450850917067,1.0702705388401774,0.9355084501244513,0.06008001143020432,0.06565680011740543,0.17278336191180743
"frozenset({'Weather_Freezing', 'Tier_Name=Tier_4_MegaHub'})","frozenset({'Weather_Snow', 'Delay_Class=Severe'})",0.0656263192019245,0.0018703632261543837,0.0012462355405369922,0.018989874118986796,10.153040785575909,1.0,0.0011234904864338433,1.0174509013120103,0.9648252705972373,0.018810975609756097,0.01715159059715539,0.3426482847916748
frozenset({'Weather_Freezing'}),"frozenset({'Weather_Snow', 'Tier_Name=Tier_4_MegaHub', 'Delay_Class=Severe'})",0.10694195612523759,0.0013613658903110742,0.0012462355405369922,0.011653382691799191,8.560066602767883,1.0,0.0011006484092249502,1.010413367761119,0.9889373765835416,0.011640850517895212,0.010306047102477369,0.4635418248770568
frozenset({'Weather_Freezing'}),"frozenset({'Weather_Snow', 'Delay_Class=Severe'})",0.10694195612523759,0.0018703632261543837,0.0016986776168421563,0.01588410833679598,8.492526004938076,1.0,0.0014986573147724963,1.0142399337612136,0.9878970464343583,0.015858648714902602,0.014040005019725516,0.46204572587466153
"frozenset({'Weather_Rain', 'Airline=JetBlue Airways'})",frozenset({'Delay_Class=Severe'}),0.006099888707328552,0.06737145292481585,0.001294711477283974,0.21225165562913906,3.150468728439097,1.0,0.0008837531123915728,1.1839168609361312,0.6867761726773629,0.017938098169810266,0.15534609481843756,0.11573458212426822
"frozenset({'Tier_Name=Tier_4_MegaHub', 'Weather_Rain'})","frozenset({'Delay_Class=Severe', 'Airline=Delta Air Lines Inc'})",0.07021941420870102,0.008166175511168654,0.0014522582717116652,0.020681720120811164,2.5326078398052236,1.0,0.0008788342109919627,1.0127798539726907,0.6508525671626428,0.0188768410827273,0.012618590232182026,0.09925997952614884
"frozenset({'Weather_Rain', 'Airline=United Air Lines Inc.'})","frozenset({'Tier_Name=Tier_4_MegaHub', 'Delay_Class=Severe'})",0.01265827898305564,0.0430244136936442,0.001318949445657465,0.10419658528801659,2.4218013993159673,1.0,0.0007743344140409172,1.0682874954367532,0.5946109773372648,0.024261564183540772,0.06392239516838562,0.06742621152105632
"frozenset({'Tier_Name=Tier_4_MegaHub', 'Weather_Rain'})","frozenset({'Delay_Class=Severe', 'Airline=United Air Lines Inc.'})",0.07021941420870102,0.008063164145581317,0.001318949445657465,0.018783259024881347,2.3295146527774375,1.0,0.0007527587826861436,1.010925307764976,0.6138287248442394,0.017137308419063614,0.010807235392227495,0.0911802066667493
frozenset({'Airline=JetBlue Airways'}),"frozenset({'Weather_Rain', 'Delay_Class=Severe'})",0.03979066474648095,0.014021664704064506,0.001294711477283974,0.03253807106598985,2.320556920503022,1.0,0.0007367801178569783,1.0191391576331355,0.5926509378530092,0.02465289796546287,0.01877972943124329,0.06243728675742592
"frozenset({'Weather_Rain', 'Tier_Name=Tier_1_HighRisk'})",frozenset({'Delay_Class=Severe'}),0.008028827023718871,0.06737145292481585,0.0012482553712347831,0.15547169811320757,2.307679163260862,1.0,0.0007073416293648179,1.104318878350866,0.571250671247107,0.016833732839398558,0.09446445261050913,0.08699982747063467
frozenset({'Weather_Rain'}),"frozenset({'Tier_Name=Tier_1_HighRisk', 'Delay_Class=Severe'})",0.12115146508419665,0.004484024149095823,0.0012482553712347831,0.010303262699854954,2.2977714564567067,1.0,0.0007050092760989059,1.0058798198796064,0.6426542066251296,0.010035236997223258,0.0058454496883239004,0.14434082053911665
"frozenset({'Tier_Name=Tier_4_MegaHub', 'Weather_Rain', 'Airline=United Air Lines Inc.'})",frozenset({'Delay_Class=Severe'}),0.008923612022840246,0.06737145292481585,0.001318949445657465,0.14780443639655952,2.1938733689104795,1.0,0.0007177527383413625,1.0943832459437353,0.5490849991078134,0.017591594827586206,0.08624332133515482,0.08369085558397905
frozenset({'Tier_Name=Tier_1_HighRisk'}),"frozenset({'Weather_Rain', 'Delay_Class=Severe'})",0.041642849496355216,0.014021664704064506,0.0012482553712347831,0.029975263132366495,2.1377820512051944,1.0,0.0006643532982750688,1.0164465892692787,0.5553519030230348,0.02293901488437697,0.016180475632371388,0.05949929967335697
frozenset({'Airline=JetBlue Airways'}),"frozenset({'Tier_Name=Tier_4_MegaHub', 'Delay_Class=Severe'})",0.03979066474648095,0.0430244136936442,0.00365791339369934,0.09192893401015229,2.136669070373236,1.0,0.0019459433725016395,1.0538553887995534,0.5540269045829148,0.046210768053074766,0.05110320578319573,0.08847420833177441
frozenset({'Airline=JetBlue Airways'}),frozenset({'Delay_Class=Severe'}),0.03979066474648095,0.06737145292481585,0.0055989706942764055,0.14071065989847714,2.088579862683164,1.0,0.0029182157974617347,1.085348675412401,0.5428043080922499,0.05512797565777698,0.07863710284620853,0.11190832050537708
frozenset({'Tier_Name=Tier_1_HighRisk'}),"frozenset({'Airline=American Airlines Inc.', 'Delay_Class=Severe'})",0.041642849496355216,0.011824088904867995,0.0010139550102910373,0.024348838337294464,2.0592570415526907,1.0,0.0005215662555940958,1.0128373233431935,0.5367393209947043,0.019330740498286415,0.012674615209498573,0.055051084696491434
"frozenset({'Tier_Name=Tier_4_MegaHub', 'Airline=JetBlue Airways'})",frozenset({'Delay_Class=Severe'}),0.026413326035011744,0.06737145292481585,0.00365791339369934,0.1384874206622314,2.0555801404012835,1.0,0.0018784092421437336,1.0825477995830093,0.5274510689694804,0.04058627103830035,0.07625326070110368,0.09639106455087286
"frozenset({'Airline=American Airlines Inc.', 'Tier_Name=Tier_4_MegaHub', 'Weather_Rain'})",frozenset({'Delay_Class=Severe'}),0.010503119628512738,0.06737145292481585,0.001411861657755847,0.13442307692307692,1.9952527530182302,1.0,0.0007042512281397916,1.0774646622508237,0.5041050400487762,0.018464708368554524,0.07189531588813321,0.07768972763857339
frozenset({'Weather_Rain'}),"frozenset({'Tier_Name=Tier_4_MegaHub', 'Delay_Class=Severe', 'Airline=Delta Air Lines Inc'})",0.12115146508419665,0.006059492093372734,0.0014522582717116652,0.011987129257598239,1.9782399370911898,1.0,0.0007181419269334528,1.0059995546007123,0.5626682255688448,0.01154797468761042,0.00596377460931732,0.12582689796213245
frozenset({'Airline=Southwest Airlines Co.'}),"frozenset({'Tier_Name=Tier_3_Efficient', 'Delay_Class=Severe'})",0.21244781262434584,0.004550678562122923,0.0019047003480168292,0.008965497570854051,1.9701452098764771,1.0,0.000937918641537311,1.0044547581319418,0.6252578666969753,0.00885520842136894,0.0044350012739514865,0.2137592689807222
"frozenset({'Airline=American Airlines Inc.', 'Weather_Rain'})","frozenset({'Tier_Name=Tier_4_MegaHub', 'Delay_Class=Severe'})",0.016792872421433635,0.0430244136936442,0.001411861657755847,0.08407505412557133,1.9541243426169301,1.0,0.0006893581675914976,1.0448187819502355,0.4966011982649956,0.024173467976206946,0.042896225378507846,0.058445207453377654
frozenset({'Airline=Frontier Airlines Inc.'}),"frozenset({'Tier_Name=Tier_4_MegaHub', 'Delay_Class=Severe'})",0.026124490245227644,0.0430244136936442,0.0021955559684987205,0.08404205968764497,1.9533574655094048,1.0,0.0010715650926524738,1.0447811457150677,0.5011533068627043,0.03279232532882828,0.04286174755232452,0.067536263870394
frozenset({'Weather_Rain'}),"frozenset({'Delay_Class=Severe', 'Airline=Delta Air Lines Inc'})",0.12115146508419665,0.008166175511168654,0.001930958147088111,0.015938380487154263,1.9517558085000473,1.0,0.0009416140197753401,1.0078980877029156,0.5548633279767949,0.015158241897634298,0.00783619673385431,0.1261982280867629
"frozenset({'Airline=American Airlines Inc.', 'Weather_Rain'})",frozenset({'Delay_Class=Severe'}),0.016792872421433635,0.06737145292481585,0.002207674952685466,0.13146499879720952,1.9513457568433294,1.0,0.0010763147388724115,1.073795006284875,0.4958600717239667,0.026937105678233434,0.06872355137894653,0.0821168495709927
frozenset({'Weather_Freezing'}),"frozenset({'Airline=Skywest Airlines Inc.', 'Delay_Class=Severe'})",0.10694195612523759,0.0053626505026348695,0.0011149465451805829,0.010425716768027801,1.9441350434650289,1.0,0.0005414542104128213,1.0051164084911917,0.5437859751891346,0.01002743010772221,0.0050903641090408736,0.10916766064390089
