Feature,Importance
Dep_Delay,0.994884943345757
Flight_Duration,0.0017327703601995059
tavg,0.0006150609385013769
prcp,0.0005966191300225464
Airline_Delta Air Lines Inc,0.00022771581716995664
Origin_State_NY,0.0002193956015352124
Origin_State_HI,0.00017637808707914783
wspd,0.00017183270264414812
Aicraft_age,0.00016117770260674774
Airline_Allegiant Air,0.00012264510437203188
Origin_State_CA,8.407929650026989e-05
Day_Of_Week,6.360231792652988e-05
Airline_Skywest Airlines Inc.,5.302279256118647e-05
DepTime_label_Evening,5.240758618746981e-05
Airline_Republic Airways,4.953252721946366e-05
Airline_American Eagle Airlines Inc.,4.2832930082403685e-05
DepTime_label_Afternoon,3.8886013427583054e-05
Origin_State_GA,3.617987416395847e-05
Airline_Hawaiian Airlines Inc.,2.9623472866833052e-05
Airline_PSA Airlines,2.9386697019492162e-05
